,Cu,Ni,Cr,NO3,pH
1,0,0,0,0,9.27
2,0,0,0.55,1.65,5.59
3,0,0,1.1,3.3,4.8
4,0,0,1.65,4.95,4.22
5,0,0,2.2,6.6,3.99
6,0,0,2.75,8.25,3.85
7,0,0,3.3,9.9,3.76
8,0,0,3.85,11.55,3.69
9,0,0,4.4,13.2,3.65
10,0,0,4.95,14.85,3.6
11,0,0.55,0,1.1,7.22
12,0,0.55,0.55,2.75,5.54
13,0,0.55,1.1,4.4,4.79
14,0,0.55,1.65,6.05,4.2
15,0,0.55,2.2,7.7,4.01
16,0,0.55,2.75,9.35,3.86
17,0,0.55,3.3,11,4.76
18,0,0.55,3.85,12.65,3.7
19,0,0.55,4.4,14.3,3.65
20,0,0.55,4.95,15.95,3.61
21,0,1.1,0,2.2,6.88
22,0,1.1,0.55,3.85,5.42
23,0,1.1,1.1,5.5,4.72
24,0,1.1,1.65,7.15,4.18
25,0,1.1,2.2,8.8,3.97
26,0,1.1,2.75,10.45,3.85
27,0,1.1,3.3,12.1,3.76
28,0,1.1,3.85,13.75,3.68
29,0,1.1,4.4,15.4,3.63
30,0,1.1,4.95,17.05,3.59
31,0,1.65,0,3.3,6.85
32,0,1.65,0.55,4.95,5.24
33,0,1.65,1.1,6.6,4.67
34,0,1.65,1.65,8.25,4.2
35,0,1.65,2.2,9.9,3.95
36,0,1.65,2.75,11.55,3.83
37,0,1.65,3.3,13.2,3.74
38,0,1.65,3.85,14.85,3.68
39,0,1.65,4.4,16.5,3.65
40,0,1.65,4.95,18.15,3.59
41,0,2.2,0,4.4,6.75
42,0,2.2,0.55,6.05,5.29
43,0,2.2,1.1,7.7,4.7
44,0,2.2,1.65,9.35,4.19
45,0,2.2,2.2,11,3.95
46,0,2.2,2.75,12.65,3.82
47,0,2.2,3.3,14.3,3.73
48,0,2.2,3.85,15.95,3.68
49,0,2.2,4.4,17.6,3.62
50,0,2.2,4.95,19.25,3.6
51,0,2.75,0,5.5,6.72
52,0,2.75,0.55,7.15,5.22
53,0,2.75,1.1,8.8,4.71
54,0,2.75,1.65,10.45,4.23
55,0,2.75,2.2,12.1,3.99
56,0,2.75,2.75,13.75,3.88
57,0,2.75,3.3,15.4,3.77
58,0,2.75,3.85,17.05,3.69
59,0,2.75,4.4,18.7,3.64
60,0,2.75,4.95,20.35,3.59
61,0,3.3,0,6.6,6.61
62,0,3.3,0.55,8.25,5.19
63,0,3.3,1.1,9.9,4.74
64,0,3.3,1.65,11.55,4.22
65,0,3.3,2.2,13.2,4.01
66,0,3.3,2.75,14.85,3.87
67,0,3.3,3.3,16.5,3.79
68,0,3.3,3.85,18.15,3.7
69,0,3.3,4.4,19.8,3.65
70,0,3.3,4.95,21.45,3.6
71,0,3.85,0,7.7,6.55
72,0,3.85,0.55,9.35,5.29
73,0,3.85,1.1,11,4.56
74,0,3.85,1.65,12.65,4.26
75,0,3.85,2.2,14.3,4.02
76,0,3.85,2.75,15.95,3.88
77,0,3.85,3.3,17.6,3.81
78,0,3.85,3.85,19.25,3.71
79,0,3.85,4.4,20.9,3.68
80,0,3.85,4.95,22.55,3.63
81,0,4.4,0,8.8,6.6
82,0,4.4,0.55,10.45,5.18
83,0,4.4,1.1,12.1,4.68
84,0,4.4,1.65,13.75,4.26
85,0,4.4,2.2,15.4,4.06
86,0,4.4,2.75,17.05,3.9
87,0,4.4,3.3,18.7,3.79
88,0,4.4,3.85,20.35,3.73
89,0,4.4,4.4,22,3.68
90,0,4.4,4.95,23.65,3.64
91,0,4.95,0,9.9,6.53
92,0,4.95,0.55,11.55,5.18
93,0,4.95,1.1,13.2,4.63
94,0,4.95,1.65,14.85,4.27
95,0,4.95,2.2,16.5,4.04
96,0,4.95,2.75,18.15,3.91
97,0,4.95,3.3,19.8,3.84
98,0,4.95,3.85,21.45,3.73
99,0,4.95,4.4,23.1,3.68
100,0,4.95,4.95,24.75,3.62
101,0.55,0,0,1.1,5.49
102,0.55,0,0.55,2.75,4.77
103,0.55,0,1.1,4.4,4.51
104,0.55,0,1.65,6.05,4.16
105,0.55,0,2.2,7.7,3.98
106,0.55,0,2.75,9.35,3.84
107,0.55,0,3.3,11,3.76
108,0.55,0,3.85,12.65,3.71
109,0.55,0,4.4,14.3,3.68
110,0.55,0,4.95,15.95,3.62
111,0.55,0.55,0,2.2,5.55
112,0.55,0.55,0.55,3.85,4.76
113,0.55,0.55,1.1,5.5,4.47
114,0.55,0.55,1.65,7.15,4.2
115,0.55,0.55,2.2,8.8,3.99
116,0.55,0.55,2.75,10.45,3.9
117,0.55,0.55,3.3,12.1,3.76
118,0.55,0.55,3.85,13.75,3.69
119,0.55,0.55,4.4,15.4,3.64
120,0.55,0.55,4.95,17.05,3.61
121,0.55,1.1,0,3.3,5.45
122,0.55,1.1,0.55,4.95,4.76
123,0.55,1.1,1.1,6.6,4.48
124,0.55,1.1,1.65,8.25,4.22
125,0.55,1.1,2.2,9.9,4
126,0.55,1.1,2.75,11.55,3.88
127,0.55,1.1,3.3,13.2,3.78
128,0.55,1.1,3.85,14.85,3.7
129,0.55,1.1,4.4,16.5,3.65
130,0.55,1.1,4.95,18.15,3.6
131,0.55,1.65,0,4.4,5.53
132,0.55,1.65,0.55,6.05,4.79
133,0.55,1.65,1.1,7.7,4.5
134,0.55,1.65,1.65,9.35,4.21
135,0.55,1.65,2.2,11,4.03
136,0.55,1.65,2.75,12.65,3.9
137,0.55,1.65,3.3,14.3,3.81
138,0.55,1.65,3.85,15.95,3.7
139,0.55,1.65,4.4,17.6,3.67
140,0.55,1.65,4.95,19.25,3.63
141,0.55,2.2,0,5.5,5.51
142,0.55,2.2,0.55,7.15,4.73
143,0.55,2.2,1.1,8.8,4.49
144,0.55,2.2,1.65,10.45,4.19
145,0.55,2.2,2.2,12.1,3.98
146,0.55,2.2,2.75,13.75,3.91
147,0.55,2.2,3.3,15.4,3.84
148,0.55,2.2,3.85,17.05,3.71
149,0.55,2.2,4.4,18.7,3.58
150,0.55,2.2,4.95,20.35,3.56
151,0.55,2.75,0,6.6,5.48
152,0.55,2.75,0.55,8.25,4.81
153,0.55,2.75,1.1,9.9,4.49
154,0.55,2.75,1.65,11.55,4.18
155,0.55,2.75,2.2,13.2,3.99
156,0.55,2.75,2.75,14.85,3.9
157,0.55,2.75,3.3,16.5,3.83
158,0.55,2.75,3.85,18.15,3.72
159,0.55,2.75,4.4,19.8,3.66
160,0.55,2.75,4.95,21.45,3.63
161,0.55,3.3,0,7.7,5.5
162,0.55,3.3,0.55,9.35,4.82
163,0.55,3.3,1.1,11,4.53
164,0.55,3.3,1.65,12.65,4.22
165,0.55,3.3,2.2,14.3,3.95
166,0.55,3.3,2.75,15.95,3.86
167,0.55,3.3,3.3,17.6,3.75
168,0.55,3.3,3.85,19.25,3.69
169,0.55,3.3,4.4,20.9,3.66
170,0.55,3.3,4.95,22.55,3.62
171,0.55,3.85,0,8.8,5.57
172,0.55,3.85,0.55,10.45,4.73
173,0.55,3.85,1.1,12.1,4.45
174,0.55,3.85,1.65,13.75,4.15
175,0.55,3.85,2.2,15.4,3.96
176,0.55,3.85,2.75,17.05,3.83
177,0.55,3.85,3.3,18.7,3.74
178,0.55,3.85,3.85,20.35,3.67
179,0.55,3.85,4.4,22,3.62
180,0.55,3.85,4.95,23.65,3.56
181,0.55,4.4,0,9.9,5.56
182,0.55,4.4,0.55,11.55,4.76
183,0.55,4.4,1.1,13.2,4.46
184,0.55,4.4,1.65,14.85,4.16
