,Cu,Ni,Cr,NO3
0,0.061409265,0.21617872,0.0,0.42256427
1,0.062261887,0.0,0.5475351,1.951175
2,0.15864938,0.44157133,0.67036223,3.3137558
3,0.00383934,0.86584175,1.5080189,6.199763
4,0.09867195,0.0,2.3315353,6.5539856
5,0.1815829,0.0,2.9142716,8.638076
6,0.123183675,0.0,3.5023723,10.297519
7,0.0,0.36658657,4.2511625,13.50908
8,0.0,0.8964329,4.7503552,15.4361725
9,0.0,3.586497,4.5350027,21.373238
10,0.073513106,0.6387646,0.031986378,1.4142343
11,0.08563744,0.70812815,0.7067693,3.2576742
12,0.1709544,0.4385896,0.76492333,3.6741085
13,0.0817704,0.81721544,1.532857,6.309649
14,0.14692599,0.075609826,2.2081091,7.201203
15,0.085530795,0.6906926,2.8265615,9.88124
16,0.040189825,0.8737349,3.3960962,12.308973
17,0.0,0.9744073,3.968852,13.576552
18,0.0,0.6956677,4.5278325,14.632839
19,0.05432254,0.25705606,4.786088,15.007213
20,0.0,1.4787341,0.08720459,2.9268415
21,0.0,1.0870864,0.44880888,3.551935
22,0.0,2.1804404,0.8561754,6.480845
23,0.017453797,1.5076947,1.5776491,7.5767303
24,0.02916605,0.36746576,2.350578,7.608345
25,0.07780663,0.92119265,2.913577,10.305984
26,0.17782709,1.1068608,3.34518,12.198014
27,0.0,1.3461131,4.1625366,14.464857
28,0.0,1.5014178,4.416565,15.714202
29,0.20666125,0.9884058,4.835872,17.060179
30,0.0,2.1344364,0.104884595,4.3192577
31,0.0,1.7971531,0.5151769,5.018818
32,0.12276996,2.510559,0.9630309,8.146915
33,0.6889827,0.9170133,1.3717397,7.1897516
34,0.11464623,0.9080758,2.3228717,9.251105
35,0.07680438,1.7346317,2.8516827,12.309019
36,0.5246056,1.3871049,3.254757,13.497877
37,0.0,2.3822916,4.1959662,16.59751
38,0.68508595,0.5996938,3.9068995,14.2948265
39,0.35547912,2.2846813,4.862252,19.785856
40,0.0,2.5747416,0.13312861,5.3493524
41,0.0,2.0636742,0.58214146,5.701328
42,0.02319096,2.7027817,1.0425016,8.505385
43,0.0067747273,1.9364351,1.6821711,8.97676
44,0.60844123,1.9263178,1.5966486,10.341498
45,0.0,2.915452,2.9685566,14.043401
46,0.0,2.0597494,3.4176729,14.109835
47,0.5953369,1.2038667,3.5890522,14.180056
48,0.044898555,1.0205449,4.4384494,15.496898
49,0.09333644,1.6954772,4.734639,17.657227
50,0.0,3.295495,0.30561113,6.441854
51,0.0,2.7194743,0.8159889,7.528929
52,0.0,2.8473074,1.2125839,9.0327215
53,0.076807946,2.3001857,1.8400294,10.320396
54,0.014915299,2.1167648,2.5366564,12.056216
55,0.46147972,1.2921671,3.0146344,12.604356
56,0.0,2.2235153,3.5929606,15.022309
57,0.0,2.502479,4.0432568,17.136864
58,0.47385252,0.77658564,4.338675,15.528904
59,0.07999069,1.470439,4.997448,18.083912
60,0.0,2.9122708,0.24108505,6.3082724
61,0.0,3.2131188,0.64778936,7.998359
62,0.0,4.0017853,0.95213467,10.423889
63,0.0,4.3594537,1.7204305,13.410191
64,0.0126971565,3.5628173,2.3229742,14.14787
65,0.03840685,2.7592566,2.926137,14.619178
66,0.21437919,2.8119102,3.3497071,16.305641
67,0.31865728,2.6246493,3.8916585,17.563242
68,0.3317302,2.0961285,4.44172,17.989117
69,0.29075298,2.0521307,5.0218115,19.6369
70,0.0,4.171877,0.2595948,8.404559
71,0.012649197,4.3116465,0.5332469,10.2809925
72,0.0,5.065328,1.1191832,13.38102
73,0.0,4.1524806,1.7852051,13.437626
74,0.08293157,3.570632,2.3521295,14.308146
75,0.1684942,3.3545237,2.79983,15.488268
76,0.34304932,2.5402884,3.3420904,15.904175
77,0.4272018,1.638736,4.0543485,16.278545
78,0.5285669,1.8866113,4.2400045,17.480377
79,0.9807324,1.5578196,4.5092707,18.589005
80,0.0,3.8269908,0.34771678,8.104659
81,0.0,4.6110992,0.6336244,10.375472
82,0.0,4.330109,1.0367357,11.638249
83,0.0,4.3358335,1.6968602,13.585603
84,0.30249304,3.8327367,2.1747823,14.705438
85,0.015555561,2.36391,2.969933,13.511332
86,0.24482104,2.0422077,3.5656497,15.181823
87,0.008383118,3.1538215,4.0382686,18.263622
88,1.1106956,1.29767,3.9287393,16.663395
89,0.24330956,2.9421146,4.8457475,20.61965
90,0.0,5.076851,0.3656273,10.399321
91,0.077781774,4.2517896,0.69178605,10.635331
92,0.18274039,5.3935018,1.2245575,14.520377
93,0.540916,3.5850718,1.6773001,13.09786
94,0.1757808,3.2950313,2.3794088,13.778048
95,0.0,3.056227,2.9022756,14.168887
96,0.000169646,3.193671,3.422004,16.884338
97,1.3681833,1.3112695,3.3402958,15.371682
98,1.7702606,2.8766742,3.5085332,19.809029
99,1.7771263,3.0319996,3.456816,19.617516
100,0.37003484,1.2210774,0.052067388,3.5103576
101,0.42507777,0.7086298,0.4630516,4.0699167
102,0.4607417,0.4603407,0.99111855,4.84402
103,0.474886,0.44441178,1.741897,6.9726176
104,0.66282123,0.0,2.522365,8.568448
105,0.64047873,0.109767295,3.0607243,10.77894
106,0.55155194,0.4146934,3.6320171,13.039003
107,0.81580985,0.64633775,4.04828,15.187758
108,0.7748282,0.2421059,4.434856,15.4060755
109,0.115288116,1.8610021,5.384914,20.203419
110,0.34330085,1.3451807,0.15495516,4.033479
111,0.6792995,0.8457215,0.4905199,4.819362
112,0.5162944,0.863377,1.0422347,5.916802
113,0.70062315,0.72685105,1.7937082,8.1072855
114,0.5816549,0.06404304,2.5199454,9.0442
115,0.7357704,0.154609,2.993978,10.926671
116,0.54768413,0.7295599,3.7481813,13.899468
117,0.64382434,0.6618902,4.1055045,14.882897
118,1.126134,0.83529127,3.798852,15.384995
119,0.13529372,1.2589314,5.007418,18.065863
120,0.27343646,1.815442,0.3961431,5.501061
121,0.72355175,1.6896461,0.58310467,6.3526387
122,0.43594214,1.2576473,1.1433979,6.97475
123,0.4728207,1.7323859,1.7804055,9.846728
124,0.5663697,1.4562507,2.5444558,11.688883
125,0.6389407,1.2210772,2.944708,12.802337
126,0.5601363,1.2196186,3.6508474,14.725313
127,0.5562554,0.88938653,4.143637,15.475943
128,0.67441595,0.7325434,4.382729,16.162334
129,0.35851902,1.1832507,4.904497,17.962805
130,0.5029652,2.1317446,0.10033414,5.561754
131,0.76242375,1.6415238,0.5831946,6.4625616
132,0.40414298,1.5457488,1.1044234,7.1322727
133,0.48770207,1.3400505,1.8235142,9.279664
134,0.44881523,1.0935206,2.5486686,10.869108
135,0.5540611,1.1629528,2.9716377,12.62144
136,0.6241797,0.83120275,3.4510605,13.62419
137,0.6361826,1.1018375,4.046058,15.733801
138,0.5595179,1.2427466,4.3432064,16.817535
139,0.13389274,2.5198033,5.2752995,21.030775
140,0.44445118,2.2986186,0.21081033,6.0384173
141,0.6772028,1.9631404,0.624556,6.8563747
142,0.60601807,1.7773598,1.1001593,8.139944
143,0.4519751,2.0431097,1.7929726,10.419272
144,0.45305848,2.1494794,2.3979464,12.385646
145,0.5259422,2.026773,2.8204398,13.671298
146,0.6549728,1.6081413,3.5042894,15.118573
147,0.43465716,1.9838194,4.1571817,17.169369
148,0.1879822,2.7485118,4.7734404,19.939756
149,1.0694605,1.3350276,4.804738,19.158854
150,0.465039,2.9648614,0.23058644,7.279679
151,0.7763133,2.3828497,0.65827453,7.924705
152,0.4429001,3.4253063,1.1022,10.921343
153,0.4109631,3.7391202,1.7640462,13.368956
154,0.73900676,3.0738435,2.0320249,13.570521
155,0.55608255,1.8939588,2.808397,13.514603
156,0.47013253,1.9933642,3.5971024,15.871459
157,0.89694506,3.2102988,3.7083127,19.15039
158,0.61848235,3.014841,4.5309124,20.803595
159,0.55818737,2.329018,5.195908,21.370108
160,0.24848387,4.3561554,0.24535212,9.653004
161,0.688124,3.658966,0.5500066,10.265375
162,0.9272348,1.7736849,1.001825,8.589916
163,0.9167653,2.4057055,1.5928652,11.457182
164,0.5464022,2.5801003,2.1523907,12.883605
165,0.59710974,2.9883542,2.6323092,15.549355
